korean,pronunciation,hanja,part_of_speech,definition,english
전화번호,전ː화번호,電話番號,명사,각 전화기의 고유한 번호.,phone number
점수,점쑤/점수,點數,명사,성적을 나타내는 숫자.,score
점심,점ː심,點心,명사,"아침과 저녁 식사 중간에, 낮에 하는 식사.",lunch
점심시간,점ː심씨간,點心時間,명사,점심을 먹기 위해 정해 둔 시간.,lunchtime
점점,점ː점,漸漸,부사,시간이 지남에 따라 정도가 조금씩 더.,gradually
접시,접씨,,명사,음식을 담는 데 쓰는 납작하고 평평한 그릇.,plate
젓가락,저까락/젇까락,,명사,음식을 집어 먹거나 물건을 집는 데 쓰는 한 쌍의 가늘고 긴 도구.,chopsticks
정거장,정거장,停車場,명사,사람이 타고 내릴 수 있게 버스나 기차 등이 멈추는 장소.,stop; station
정도,정도,程度,명사,사물의 성질이나 가치를 좋고 나쁨이나 더하고 덜한 정도로 나타내는 분량이나 수준.,degree
정류장,정뉴장,停留場,명사,사람이 타고 내릴 수 있게 버스나 택시 등이 멈추는 장소.,stop
정리,정ː니,整理,명사,흐트러지거나 어수선한 상태에 있는 것을 한데 모으거나 치움.,organizing
정말,정ː말,正말,명사,거짓이 없는 사실. 또는 사실과 조금도 틀림이 없는 말.,fact
정문,정ː문,正門,명사,"사람이나 차들이 주로 드나드는, 건물의 정면에 있는 문.",main gate
정원,정원,庭園,명사,집 안에 풀과 나무 등을 가꾸어 놓은 뜰이나 꽃밭.,garden
정확,정ː확,正確,명사,바르고 확실함.,accuracy
제,,,품사 없음,말하는 사람이 자신을 낮추어 가리키는 말인 ‘저’에 ‘의’가 붙은 '저의'가 줄어든 말.,je
제목,제목,題目,명사,"글이나 영화, 공연 등에서, 중심이 되는 내용을 나타내기 위해 붙이는 이름.",title
제일,제ː일,第一,부사,여럿 중에서 가장.,most
제주도,제ː주도,濟州道,명사,한국의 행정 구역 단위인 도의 하나. 한국의 가장 남쪽에 있으며 제주도를 비롯한 여러 섬으로 이루어져 있다.,Jeju-do Province
조금,조금,,부사,분량이나 정도가 적게.,a little
조금씩,조금씩,,부사,적은 정도로 계속해서.,little by little
조심,조ː심,操心,명사,좋지 않은 일을 겪지 않도록 말이나 행동 등에 주의를 함.,caution; carefulness
조용히,조용히,,부사,아무 소리도 들리지 않게.,quietly
조카,조카,,명사,형제자매가 낳은 자식.,nephew; niece
졸업,조럽,卒業,명사,학생이 학교에서 정해진 교과 과정을 모두 마침.,graduation
좀,좀,,부사,분량이나 정도가 적게.,a little
종류,종ː뉴,種類,명사,어떤 기준에 따라 여러 가지로 나눈 갈래.,kind; sort
종업원,종어붠,從業員,명사,직장 등에서 어떤 업무에 종사하는 사람.,employee; staff
종이,종이,,명사,"나무를 원료로 하여 얇게 만든, 글씨를 쓰고 그림을 그리고 인쇄를 하는 등 여러 가지 일에 쓰는 물건.",paper
주,주,週,명사,월요일부터 일요일까지의 칠 일 동안.,week
주로,주로,主로,부사,기본이나 중심이 되게.,usually
주말,주말,週末,명사,한 주일의 끝.,weekend
주머니,주머니,,명사,돈이나 물건 등을 넣어 가지고 다닐 수 있도록 천이나 가죽 등으로 만든 물건.,pouch
주문,주ː문,注文,명사,"어떤 물건을 만들거나 파는 사람에게 그 물건의 종류, 수량, 모양, 크기 등을 말해 주고 그렇게 만들거나 보내어 달라고 부탁하는 일이나 내용.",order
주변,주변,周邊,명사,어떤 대상을 싸고 있는 둘레. 또는 가까운 범위 안.,being around
주부,주부,主婦,명사,한 가정의 살림을 맡아서 하는 사람.,homemaker
주사,주ː사,注射,명사,주사기를 통해 사람이나 동물의 몸에 액체로 된 약물을 직접 넣는 일.,injection
주소,주ː소,住所,명사,"집이나 직장, 기관 등이 위치한 곳의 행정 구역상 이름.",address
주스,,juice,명사,과일이나 채소에서 짜낸 즙. 또는 그것으로 만든 음료.,juice
주위,주위,周圍,명사,어떤 곳을 둘러싸고 있는 테두리.,surrounding area
주인,주인,主人,명사,대상이나 물건을 자기의 것으로 가진 사람.,owner
주일,주일,週日,의존 명사,월요일부터 일요일까지의 칠 일 동안을 세는 단위.,week
주차,주ː차,駐車,명사,자동차 등을 일정한 곳에 세움.,parking
주차장,주ː차장,駐車場,명사,자동차를 세울 수 있는 일정한 장소.,parking lot
주황색,주황색,朱黃色,명사,붉은색과 노란색이 섞인 색.,orange color
준비,준ː비,準備,명사,미리 마련하여 갖춤.,preparation
줄,줄,,명사,무엇을 묶거나 매는 데 쓰는 가늘고 긴 물건.,rope; string
중,중,中,의존 명사,여럿 가운데.,
중간,중간,中間,명사,두 사물의 사이.,middle
중국,중국,中國,명사,아시아 동부에 있는 나라. 세계 최대의 인구와 광대한 영토를 가진 사회주의 국가이다. 주요 언어는 중국어이고 수도는 베이징이다.,China
중국집,중국찝,中國집,명사,중국요리를 파는 식당.,Chinese restaurant
중심,중심,中心,명사,어떤 것의 한가운데.,center
중앙,중앙,中央,명사,어떤 장소나 물체의 중심이 되는 한가운데.,middle
중요,중ː요,重要,명사,귀중하고 꼭 필요함.,importance
중학교,중학꾜,中學校,명사,초등학교를 졸업하고 중등 교육을 받기 위해 다니는 학교.,middle school
중학생,중학쌩,中學生,명사,중학교에 다니는 학생.,middle school student
지각,지각,知覺,명사,사물의 이치를 깨닫는 능력.,perceptivity; awareness
지갑,지갑,紙匣,명사,"돈, 카드, 명함 등을 넣어 가지고 다닐 수 있게 가죽이나 헝겊 등으로 만든 물건.",wallet; purse
지금,지금,只今,명사,말을 하고 있는 바로 이때.,now
지난달,지난달,,명사,이번 달의 바로 전의 달.,last month
지난번,지난번,지난番,명사,말하고 있는 때 이전의 지나간 차례나 때.,last time; the other day
지난주,지난주,지난週,명사,이번 주의 바로 전의 주.,last week
지난해,지난해,,명사,이번 해의 바로 전의 해.,last year
지도,지도,地圖,명사,지구 표면의 전부나 일부를 일정한 비율로 줄여 약속된 기호를 사용하여 평면에 그린 그림.,map
지방,지방,地方,명사,행정 구획이나 어떤 특징 등에 의해 나누어지는 지역.,area; district
지우개,지우개,,명사,"연필로 쓴 것을 지우는, 고무로 만든 물건.",eraser
지하,지하,地下,명사,땅속이나 땅을 파고 그 아래에 만든 건물의 공간.,basement
지하도,지하도,地下道,명사,땅 밑을 파서 만들어 놓은 길.,underground tunnel
지하철,지하철,地下鐵,명사,지하 철도로 다니는 전동차.,subway
지하철역,지하철력,地下鐵驛,명사,지하철을 타고 내리는 곳.,subway station
직업,지겁,職業,명사,보수를 받으면서 일정하게 하는 일.,occupation; job
직원,지권,職員,명사,일정한 직장에 소속되어 일하는 사람.,employee
직장,직짱,職場,명사,돈을 받고 일하는 곳.,workplace
직접,직쩝,直接,명사,중간에 다른 사람이나 물건 등이 끼어들지 않고 바로 연결되는 관계.,direct relationship
진짜,진짜,眞짜,명사,다른 것을 본뜨거나 거짓으로 만들어 낸 것이 아닌 것.,authentic
질문,질문,質問,명사,모르는 것이나 알고 싶은 것을 물음.,question
짐,짐,,명사,다른 곳으로 옮기기 위해 꾸려 놓은 물건.,baggage
집,집,,명사,사람이나 동물이 추위나 더위 등을 막고 그 속에 들어 살기 위해 지은 건물.,house
집들이,집뜨리,,명사,이사한 후에 친한 사람들을 불러 집을 구경시키고 음식을 대접하는 일.,housewarming party
집안일,지반닐,,명사,"청소나 빨래, 요리 등 집 안에서 하는 일.",housework; household chores
짜증,짜증,,명사,마음에 들지 않아서 화를 내거나 싫은 느낌을 겉으로 드러내는 일. 또는 그런 성미.,irritation; annoyance
짝,짝,,명사,함께 어울려 한 쌍이나 한 벌을 이루는 것. 또는 그중의 하나.,couple; pair; piece; partner; mate
짬뽕,,←champon,명사,여러 가지 해물과 야채를 볶고 매콤한 국물을 부어 만든 중국식 국수.,jjamppong
쪽,쪽,,의존 명사,무엇이 나아가거나 향하는 방향.,direction; way
찌개,찌개,,명사,"국물을 적게 하여 고기나 두부, 채소 등을 넣고 고추장이나 된장 등을 넣고 양념과 간을 맞추어 약간 짜게 끓인 반찬.",jjigae; stew
차,차,次,의존 명사,어떤 일의 차례나 횟수를 나타내는 말.,cha
차례,차례,次例,명사,어떤 일을 하거나 어떤 일이 일어나는 순서.,procedure; process
찬물,찬물,,명사,차가운 물.,cold water
참,참,,부사,사실이나 이치에 조금도 어긋남이 없이 정말로.,truly
참외,차뫼/차뭬,,명사,색이 노랗고 단맛이 나며 주로 여름에 먹는 열매.,oriental melon
창문,창문,窓門,명사,공기나 햇빛이 들어올 수 있도록 벽이나 지붕에 만들어 놓은 문.,window
채소,채ː소,菜蔬,명사,"밭에서 기르며 주로 그 잎이나 줄기, 열매를 먹는 농작물.",vegetable
책,책,冊,명사,글이나 그림 등을 인쇄하여 묶어 놓은 것.,books; publications
책상,책쌍,冊床,명사,책을 읽거나 글을 쓰거나 사무를 볼 때 앞에 놓고 쓰는 상.,desk
책장,책짱,冊欌,명사,책을 넣어 두는 장.,bookshelf; bookcase
처음,처음,,명사,차례나 시간상으로 맨 앞.,first; forefront
천,천,千,관형사,백의 열 배가 되는 수의.,thousand
천만,천만,千萬,명사,아주 많은 수.,ten million; millions of times
천천히,천ː천히,,부사,움직임이나 태도가 느리게.,slowly
첫,첟,,관형사,맨 처음의.,first
첫날,천날,,명사,어떤 일이 처음으로 시작되는 날.,first day
첫째,첫째,,명사,무엇보다도 앞서는 것. 제일.,first
청년,청년,靑年,명사,육체적으로나 정신적으로 다 자란 젊은 사람.,young person; youth
청바지,청바지,靑바지,명사,질긴 무명으로 만든 푸른색 바지.,jeans
청소,청소,淸掃,명사,더럽고 지저분한 것을 깨끗하게 치움.,cleaning
청소년,청소년,靑少年,명사,"아직 성인이 되지 않은, 나이가 십 대 정도인 어린 사람.",teenager
체육관,체육꽌,體育館,명사,실내에서 운동을 할 수 있게 만든 건물.,gym; gymnasium
초,초,初,의존 명사,어떤 기간의 처음이나 초기.,beginning
초대,초대,招待,명사,"다른 사람에게 어떤 자리, 모임, 행사 등에 와 달라고 요청함.",invitation
초대장,초대짱,招待狀,명사,"어떤 자리, 모임, 행사 등에 초대하는 뜻을 적어서 보내는 편지.",invitation; invitation card
초등학교,초등학꾜,初等學校,명사,학교 교육의 첫 번째 단계로 만 여섯 살에 입학하여 육 년 동안 기본 교육을 받는 학교.,elementary school; primary school
초등학생,초등학쌩,初等學生,명사,초등학교에 다니는 학생.,elementary school student; primary school student
초록색,초록쌕,草綠色,명사,"파랑과 노랑의 중간인, 짙은 풀과 같은 색.",green
초콜릿,,chocolate,명사,"코코아 가루에 우유, 설탕 등을 섞어 만든, 주로 검은색의 달콤한 음식.",chocolate
최고,최ː고/췌ː고,最高,명사,정도가 가장 높음.,the highest; top
최근,최ː근/췌ː근,最近,명사,얼마 되지 않은 지나간 날부터 현재까지의 기간.,the latest; the most recent
추석,추석,秋夕,명사,"한국의 명절의 하나. 음력 8월 15일로 햅쌀로 빚은 송편과 햇과일 등의 음식을 장만하여 차례를 지낸다. 또한 씨름, 줄다리기, 강강술래 등의 민속놀이를 즐긴다.",Chuseok
축구,축꾸,蹴球,명사,11명이 한 팀이 되어 주로 발이나 머리를 사용해 상대편의 골에 공을 많이 넣으면 이기는 경기.,soccer
축구공,축꾸공,蹴球공,명사,축구 경기에 쓰는 공.,soccer ball
축하,추카,祝賀,명사,남의 좋은 일에 대하여 기쁜 마음으로 인사함. 또는 그런 인사.,congratulations; celebration
출구,출구,出口,명사,밖으로 나갈 수 있는 문이나 통로.,exit; way out
출근,출근,出勤,명사,일하러 직장에 나가거나 나옴.,going to work; arriving at work
출발,출발,出發,명사,어떤 곳을 향하여 길을 떠남.,departure; leaving
출석,출썩,出席,명사,수업이나 모임 등에 나아가 참석함.,attendance
출입,추립,出入,명사,사람이 어떤 곳을 드나듦.,going in and out; entry
출입국,추립꾹,出入國,명사,나라 밖으로 나가거나 나라 안으로 들어오는 일.,departure; entry
출장,출짱,出張,명사,임시로 다른 곳에 일하러 감.,business trip
출퇴근,출퇴근/출퉤근,出退勤,명사,출근과 퇴근.,commuting
춤,춤,,명사,음악이나 규칙적인 박자에 맞춰 몸을 움직이는 것.,dance
취미,취ː미,趣味,명사,좋아하여 재미로 즐겨서 하는 일.,hobby
취소,취ː소,取消,명사,이미 발표한 것을 거두어들이거나 약속한 것 또는 예정된 일을 없앰.,cancellation
취직,취ː직,就職,명사,일정한 직업을 얻어 직장에 나감.,getting a job
층,층,層,명사,서로 다른 물질이나 물체가 옆으로 넓게 퍼져 쌓여 있는 것 중의 하나. 또는 그렇게 쌓여 있는 상태.,layer
치과,치꽈,齒科,명사,"이와 더불어 잇몸 등의 지지 조직, 구강 등의 질병을 치료하는 의학 분야. 또는 그 분야의 병원.",dental surgery; dentistry; dentist’s office; dental clinic
치료,치료,治療,명사,병이나 상처 등을 낫게 함.,cure; treatment
치마,치마,,명사,여자가 입는 아래 겉옷으로 다리가 들어가도록 된 부분이 없는 옷.,skirt
치약,치약,齒藥,명사,이를 닦는 데 쓰는 약.,toothpaste
치킨,,chicken,명사,토막을 낸 닭에 밀가루 등을 묻혀 기름에 튀기거나 구운 음식.,fried chicken
친구,친구,親舊,명사,사이가 가까워 서로 친하게 지내는 사람.,friend
친절,친절,親切,명사,사람을 대하는 태도가 상냥하고 부드러움. 또는 그런 태도.,kindness; hospitality
친척,친척,親戚,명사,부모나 배우자와 혈연관계가 있는 사람.,relative
칠,칠,七,수사,육에 일을 더한 수.,seven
칠십,칠씹,七十,관형사,일흔의.,seventy
칠월,치뤌,七月,명사,일 년 열두 달 가운데 일곱째 달.,July
칠판,칠판,漆板,명사,분필로 글씨를 쓰는 짙은 초록색이나 검정색의 판.,blackboard
침대,침ː대,寢臺,명사,사람이 누워서 잘 수 있게 만든 가구.,bed
침실,침ː실,寢室,명사,집에서 주로 잠을 자는 방.,bedroom
칫솔,치쏠/칟쏠,齒솔,명사,이를 닦는 데 쓰는 솔.,toothbrush
칭찬,칭찬,稱讚,명사,좋은 점이나 잘한 일 등을 매우 훌륭하게 여기는 마음을 말로 나타냄. 또는 그런 말.,praise; compliment
카드,,card,명사,어떤 내용을 증명하거나 기록하기 위해 일정한 크기와 형식으로 자른 두꺼운 종이 또는 플라스틱.,card
카레,,←curry,명사,"강황, 생강, 후추, 마늘 등을 섞어 만든 노란 빛깔의 향신료.",curry
카메라,,camera,명사,사진을 찍는 기계.,camera
카페,,café,명사,"주로 커피와 차, 가벼운 간식거리 등을 파는 가게.",cafe; coffee shop
칼,칼,,명사,물건을 베거나 깎거나 써는 데 쓰는 도구.,knife
칼국수,칼국쑤,,명사,밀가루 반죽을 얇게 밀고 칼로 가늘게 썰어서 만든 국수. 또는 그것을 넣어 끓인 음식.,kalguksu; noodle soup
캐나다,,Canada,명사,"북아메리카 대륙의 북부에 있는 나라. 러시아에 이어 세계에서 두 번째로 넓은 나라로 공업과 수산업이 발달했으며, 주요 생산물로는 밀, 금, 구리, 아연 등이 있다. 공용어는 영어와 프랑스어이고 수도는 오타와이다.",Canada
커피,,coffee,명사,볶은 후 갈아서 물에 끓여 차로 마시는 커피나무의 열매. 또는 그 가루.,coffee fruit; coffee powder
커피숍,,coffee shop,명사,사람들이 주로 커피나 차를 마시며 이야기하거나 쉴 수 있도록 꾸며 놓은 가게.,coffee shop
컴퓨터,,computer,명사,"전자 회로를 이용하여 문서, 사진, 영상 등의 대량의 데이터를 빠르고 정확하게 처리하는 기계.",computer
컵,,cup,명사,물이나 음료를 담는 그릇.,cup
케이크,,cake,명사,"밀가루에 달걀, 버터, 우유, 설탕 등을 넣어 반죽하여 오븐에 구운 뒤 생크림이나 과일 등으로 장식한 빵.",cake
켤레,켤레,,의존 명사,"신발, 양말, 장갑 등 짝이 되는 두 개를 한 벌로 세는 단위.",pair
코,코,,명사,숨을 쉬고 냄새를 맡는 몸의 한 부분.,nose
코끼리,코끼리,,명사,"매우 긴 코와 두 개의 큰 어금니가 있는, 육지에 사는 동물 가운데 가장 큰 동물.",elephant
콘서트,,concert,명사,악기를 연주하거나 노래를 하여 청중에게 들려주는 모임.,music concert
콜라,,cola,명사,맛이 달고 독특한 향이 나는 검은색의 탄산음료.,cola; Coke
콧물,콘물,,명사,콧구멍에서 나오는 끈끈한 액체.,nasal discharge
콩,콩,,명사,두부나 된장 등의 재료로 쓰이며 노란색 또는 검은색의 얇은 껍질에 쌓인 동그란 모양의 곡식.,bean
크기,크기,,명사,"사물의 부피, 넓이, 양 등이 큰 정도.",size
크리스마스,,Christmas,명사,기독교의 창시자인 예수가 태어난 것을 기념하는 날. 12월 25일이다.,Christmas Day
큰소리,큰소리,,명사,큰 목소리로 야단치는 소리.,shouting; yelling
키,키,,명사,사람이나 동물이 바로 섰을 때의 발에서부터 머리까지의 몸의 길이.,height
킬로그램,,kilogram,의존 명사,무게의 단위.,kilogram
킬로미터,,kilometer,의존 명사,길이의 단위.,kilometer
탁구,탁꾸,卓球,명사,"네모난 테이블 가운데에 네트를 세우고, 공을 라켓으로 쳐서 넘기고 받는 실내 경기.",table tennis; ping-pong
탕수육,탕수육,糖▽水肉,명사,"튀김옷을 입혀 튀긴 고기에 식초, 간장, 설탕, 채소 등을 넣고 끓인 녹말 물을 부어 만든 중국요리.",sweet and sour pork
태국,태국,泰國,명사,동남아시아의 인도차이나반도에 있는 나라. ‘타이’를 한국식 한자음으로 읽은 이름이다.,Thailand
태권도,태꿘도,跆拳道,명사,"한국 전통 무술에 바탕을 둔, 손과 발 등을 사용해 차기, 지르기, 막기 등의 기술로 공격과 방어를 하는 운동.",taegwondo; taekwondo
태극기,태극끼,太極旗,명사,대한민국의 국기.,taegeukgi
태도,태ː도,態度,명사,몸을 움직이거나 어떤 일을 대하는 마음이 드러난 자세.,attitude
태풍,태풍,颱風,명사,"주로 7~9월에 태평양에서 한국, 일본 등 아시아 대륙 동부로 불어오는, 거센 폭풍우를 동반한 바람.",typhoon
택배,택빼,宅配,명사,"우편물이나 짐, 상품 등을 원하는 장소까지 직접 배달해 주는 일.",parcel delivery service; home-delivery service
택시,,taxi,명사,돈을 받고 손님이 원하는 곳까지 태워 주는 일을 하는 승용차.,taxi; cab
터미널,,terminal,명사,"비행기나 기차, 버스 등의 여러 노선이 모여 있는, 주로 첫 번째나 마지막 역.",terminal
테니스,,tennis,명사,가운데에 네트를 치고 양쪽에서 라켓으로 공을 주고받아 승부를 겨루는 운동 경기.,tennis
테니스장,,tennis場,명사,테니스 경기를 하는 운동장.,tennis court
텔레비전,,television,명사,방송국에서 전파로 보내오는 영상과 소리를 받아서 보여 주는 기계.,TV; television
토끼,토끼,,명사,귀가 길고 뒷다리가 앞다리보다 발달하였으며 꼬리는 짧은 동물.,rabbit
토마토,,tomato,명사,둥근 모양에 크기는 주먹만 하며 초록색이었다가 붉은색으로 익는 열매.,tomato
토요일,토요일,土曜日,명사,월요일을 기준으로 한 주의 여섯째 날.,Saturday
통장,통장,通帳,명사,"금융 기관에서, 예금한 사람에게 예금의 입금과 출금 내역을 적어 주는 장부.",bank book; deposit passbook
통화,통화,通話,명사,전화로 말을 주고받음.,talking over the telephone
퇴근,퇴ː근/퉤ː근,退勤,명사,일터에서 일을 끝내고 집으로 돌아가거나 돌아옴.,leaving work; arriving home from work
퇴원,퇴ː원/퉤ː원,退院,명사,일정 기간 병원에 머물며 치료를 받던 환자가 병원에서 나옴.,leaving the hospital; being discharged from the hospital
튀김,튀김,,명사,"생선이나 고기, 야채 등을 밀가루에 묻혀서 기름에 튀긴 음식.",fried food
트럭,,truck,명사,물건을 실어 나르는 자동차.,truck
특별히,특뼐히,特別히,부사,보통과 차이가 나게 다르게.,specially; particularly; especially
특히,트키,特히,부사,보통과 다르게.,specially; particularly; especially
티셔츠,,←T-shirt,명사,‘T’자 모양으로 생긴 반팔 셔츠.,T-shirt
팀,,team,명사,같은 일을 함께하는 한 무리.,team
파란색,파란색,파란色,명사,맑은 하늘이나 바다처럼 밝고 선명한 푸른색.,blue
파티,,party,명사,친목을 도모하거나 무엇을 기념하기 위한 잔치나 모임.,party
팔,팔,,명사,어깨에서 손목까지의 신체 부위.,arm
팔십,팔씹,八十,수사,십의 여덟 배가 되는 수.,eighty
팔월,파뤌,八月,명사,일 년 열두 달 가운데 여덟째 달.,August
편리,펼리,便利,명사,이용하기 쉽고 편함.,convenience; handiness
편안,펴난,便安,명사,몸이나 마음이 편하고 좋음.,comfort; ease
편의점,펴늬점/펴니점,便宜店,명사,하루 24시간 내내 문을 열고 간단한 생활필수품 등을 파는 가게.,convenience store
편지,편ː지,便紙/片紙,명사,다른 사람에게 하고 싶은 말을 적어서 보내는 글.,letter
평소,평소,平素,명사,특별한 일이 없는 보통 때.,ordinary times
평일,평일,平日,명사,특별한 일이 없는 보통 때.,ordinary times
포도,포도,葡萄,명사,달면서도 약간 신맛이 나는 작은 열매가 뭉쳐서 송이를 이루는 보라색 과일.,grape
포장,포장,包裝,명사,물건을 싸거나 꾸림. 또는 싸거나 꾸리는 데 사용하는 재료.,wrapping; gift-wrapping; package; packaging material
표,표,票,명사,어떤 권리가 있음을 증명하는 쪽지.,ticket
푹,푹,,부사,잠이 깊이 들거나 피곤한 몸을 충분히 편하게 쉬는 모양.,soundly
풍경,풍경,風景,명사,자연이나 지역의 아름다운 모습.,scenery; scene; view
프라이팬,,frypan,명사,"음식을 기름에 지지거나 튀기는 데 쓰는, 손잡이가 달리고 높이가 낮으며 넓적한 냄비.",frying pan
프랑스,,France,명사,서유럽에 있는 나라. 유럽에서 손꼽히는 농업 생산국이며 관광 산업이 발달하였다. 주요 언어는 프랑스어이고 수도는 파리이다.,France
프로그램,,program,명사,어떤 행사의 진행 계획이나 순서를 적은 목록. 또는 그 행사의 세부 항목.,program; list of shows
피,피,,명사,"사람이나 동물의 몸 안의 혈관을 돌며 산소와 영양분을 공급하고, 노폐물을 운반하는 붉은색의 액체.",blood
피곤,피곤,疲困,명사,몸이나 마음이 지쳐서 힘듦.,tiredness; exhaustion; fatigue
피아노,,piano,명사,검은색과 흰색 건반을 손가락으로 두드리거나 눌러서 소리를 내는 큰 악기.,piano
피자,,pizza,명사,"이탈리아에서 유래한 것으로 둥글고 납작한 밀가루 반죽 위에 토마토, 고기, 치즈 등을 얹어 구운 음식.",pizza
필요,피료,必要,명사,꼭 있어야 함.,need; necessity; requirement
필통,필통,筆筒,명사,"붓, 연필 등의 필기구를 꽂아 놓는 통.",pencil holder
하나,하나,,명사,"뜻, 마음, 생각 등이 일치하거나 모아지는 것.",one
하늘,하늘,,명사,땅 위로 펼쳐진 무한히 넓은 공간.,sky
하늘색,하늘쌕,하늘色,명사,맑은 하늘의 빛깔과 같은 연한 파란색.,sky blue
하루,하루,,명사,밤 열두 시부터 다음 날 밤 열두 시까지의 스물네 시간.,day
하숙비,하ː숙삐,下宿費,명사,남의 집에 머물면서 먹고 자는 데 드는 방세와 밥값 등의 돈.,payment for board and lodgings
하숙집,하ː숙찝,下宿집,명사,일정한 돈을 내고 머물면서 먹고 자는 집.,boarding house; lodging house; rooming house
하얀색,하얀색,하얀色,명사,눈이나 우유의 빛깔과 같이 밝고 선명한 흰색.,white
하지만,하지만,,부사,내용이 서로 반대인 두 개의 문장을 이어 줄 때 쓰는 말.,but; however
학교,학꾜,學校,명사,"일정한 목적, 교과 과정, 제도 등에 의하여 교사가 학생을 가르치는 기관.",school
학기,학끼,學期,명사,한 학년 동안을 학업의 필요에 따라 구분한 기간.,semester; term
학년,항년,學年,명사,학교 교육에서 일 년 동안의 학습 과정의 단위.,school year
학생,학쌩,學生,명사,학교에 다니면서 공부하는 사람.,student; learner
학생증,학쌩쯩,學生證,명사,어떤 학교에 소속된 학생임을 증명하는 문서.,student identification
학원,하권,學院,명사,"일정한 목적, 교과 과정, 제도 등에 의하여 교사가 학생을 가르치는 기관.",school
한,한,,관형사,하나의.,one
한강,한ː강,漢江,명사,태백산맥에서 시작하여 한국의 중부 지역을 지나 서해로 흘러드는 강. 경기도에서 남한강과 북한강이 만나며 남한에서 유량이 가장 많다.,Hangang River
한국,한ː국,韓國,명사,"아시아 대륙의 동쪽에 있는 나라. 한반도와 그 부속 섬들로 이루어져 있으며, 대한민국이라고도 부른다. 1950년에 일어난 육이오 전쟁 이후 휴전선을 사이에 두고 국토가 둘로 나뉘었다. 언어는 한국어이고, 수도는 서울이다.",Korea
한글,한ː글,,명사,한국 문자의 이름.,Hangeul
한두,한두,,관형사,하나나 둘의.,a couple of; one or two
한번,한번,한番,부사,어떤 행동이나 상태 등을 강조함을 나타내는 말.,very; really; extremely
한복,한ː복,韓服,명사,한국의 전통 의복.,hanbok
한식,한ː식,韓食,명사,한국 고유의 음식.,hansik
한식집,한ː식찝,韓食집,명사,우리나라 고유의 음식을 파는 음식점.,Korean restaurant
한옥,하ː녹,韓屋,명사,우리나라 고유의 형식으로 지은 집.,hanok
한잔,한잔,한盞,명사,간단하게 한 차례 마시는 차나 술.,a cup of; a drink; a glass of
한턱,한턱,,명사,남에게 크게 음식이나 술을 대접하는 일.,treat
할머니,할머니,,명사,"아버지의 어머니, 또는 어머니의 어머니를 이르거나 부르는 말.",grandmother; granny
할아버지,하라버지,,명사,"아버지의 아버지, 또는 어머니의 아버지를 이르거나 부르는 말.",grandfather; grandpa
할인,하린,割引,명사,정해진 가격에서 얼마를 뺌.,discount; reduction
함께,함께,,부사,여럿이서 한꺼번에 같이.,together; along with
항공,항ː공,航空,명사,비행기로 공중을 날아다님.,aviation; air
항공권,항ː공꿘,航空券,명사,비행기에 탈 수 있는 표.,airline ticket; flight ticket
항상,항상,恒常,부사,어느 때에나 변함없이.,always; all the time
해,해,,명사,태양계의 중심에 있으며 온도가 매우 높고 스스로 빛을 내는 항성.,sun
해마다,해마다,,부사,각각의 해에 모두.,every year; each year
해외,해ː외/해ː웨,海外,명사,자기 나라가 아닌 다른 나라.,foreign country; overseas
해외여행,해ː외여행/해ː웨여행,海外旅行,명사,외국으로 여행을 가는 일. 또는 그런 여행.,overseas travel; trip abroad
햄버거,,hamburger,명사,둥근 빵 사이에 고기와 채소와 치즈 등을 끼운 음식.,hamburger
햇빛,해삗/핻삗,,명사,해의 빛.,sunlight; sunbeam; sunshine
행동,행동,行動,명사,몸을 움직여 어떤 일이나 동작을 함.,action; movement behavior; deed
행복,행ː복,幸福,명사,복되고 좋은 운수.,blessing; luck; fortune
행사,행사,行事,명사,목적이나 계획을 가지고 절차에 따라서 어떤 일을 시행함. 또는 그 일.,event; occasion; ceremony
허리,허리,,명사,사람이나 동물의 신체에서 갈비뼈 아래에서 엉덩이뼈까지의 부분.,waist
헬스클럽,,health club,명사,몸을 단련하거나 몸매를 가꿀 수 있도록 여러 가지 운동 기구나 시설을 갖춘 곳.,health club; fitness center; gym
혀,혀,,명사,사람이나 동물의 입 안 아래쪽에 있는 길고 붉은 살덩어리.,tongue
현금,현ː금,現金,명사,"어음, 수표, 채권 등이 아닌 정부나 금융과 통화 정책의 주체가 되는 은행에서 만들어 내놓는 화폐.",cash
현재,현ː재,現在,명사,지금 이때.,now; present; today
형,형,兄,명사,남자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 남자를 이르거나 부르는 말.,older brother
형제,형제,兄弟,명사,형과 남동생.,brothers
호,호ː,號,의존 명사,순서나 차례를 나타내는 말.,ho
호랑이,호ː랑이,虎狼이,명사,"누런 갈색의 몸에 검은 줄무늬가 있고, 다른 동물을 잡아먹고 사는 몸집이 큰 동물.",tiger
호수,호수,湖水,명사,땅으로 둘러싸인 큰 못.,lake
호텔,,hotel,명사,시설이 잘 되어 있고 규모가 큰 고급 숙박업소.,hotel
혹시,혹씨,或是,부사,그러할 리는 없지만 만약에.,by any chance
혼자,혼자,,명사,다른 사람 없이 한 사람.,being alone; being by oneself
홍차,홍차,紅차,명사,"차나무의 잎을 발효시켜 말린 것으로, 끓는 물에 넣으면 맑은 붉은색을 띠고 향기가 나는 차.",black tea; red tea
