korean,pronunciation,hanja,part_of_speech,definition,english
까까머리,까까머리,,명사,아주 짧게 자른 머리. 또는 그런 머리 모양을 한 사람.,crew cut; buzz cut
까까중,까까중,,명사,머리카락을 아주 짧게 깎은 중. 또는 그런 머리 모양.,crew-cut Buddhist monk
까꿍,까꿍,,감탄사,아기를 귀여워하며 어르거나 달랠 때 내는 소리.,peekaboo; peep-bo
까닥,까닥,,부사,고개나 손가락을 아래위로 가볍게 한 번 움직이는 모양.,bob; nod
까닥까닥,까닥까닥,,부사,고개나 손가락을 아래위로 가볍게 되풀이하여 움직이는 모양.,bob; nod
까딱까딱,까딱까딱,,부사,고개나 손가락을 아래위로 가볍게 되풀이하여 움직이는 모양.,bob; nod
까딱없이,까따겁씨,,부사,바뀌거나 달라지는 것이나 아무 사고 없이 온전하게.,undamaged; unaffected
까딱하면,까따카면,,부사,조금이라도 실수하면 또는 잘못되면.,with the slightest mistake; easily
까르르,까르르,,부사,주로 여자나 아이들이 빠르게 잇따라 웃는 소리.,tee-hee-hee
까르륵,까르륵,,부사,주로 어린아이가 빠르게 웃는 소리.,tee-hee-hee
까마귀,까마귀,,명사,울음소리가 크며 깃털 전체가 검은 새.,crow
까마득히,까마드키,,부사,거리가 매우 멀어서 들리거나 보이는 것이 분명하지 않게.,remote; far
까막까치,까막까치,,명사,까마귀와 까치.,crows and magpies
까막눈,까망눈,,명사,글을 배우지 않아 읽고 쓸 줄 모르는 사람.,illiterate person
까막눈이,까망누니,,명사,글을 배우지 않아 읽고 쓸 줄 모르는 사람.,illiterate person
까망,,,명사,→ 깜장,
까무룩,까무룩,,부사,자기도 모르게 순간적으로 정신이 흐려지는 모양.,kkamuruk
까물까물,까물까물,,부사,작고 약한 불빛이 사라질 듯 말 듯 움직이는 모양.,glimmeringly; shimmeringly
까뭇까뭇,까묻까묻,,부사,여기저기가 조금 검은 모양.,with blackish spots
까불까불,까불까불,,부사,물체가 가볍게 자꾸 흔들리는 모양.,waveringly
까불이,까부리,,명사,(놀리는 말로) 경솔하고 방정맞게 행동하는 사람.,troublemaker; giddy goat; flippant person
까슬까슬,까슬까슬,,부사,피부나 물건의 겉면이 매끄럽지 않고 거친 모양.,feeling rough; feeling sandy
까지,,,조사,어떤 범위의 끝임을 나타내는 조사.,kkaji
까짓,까짇,,감탄사,무엇을 대단하게 생각하지 않는다는 뜻으로 하는 말.,no problem; piece of cake
까짓것,까짇껃,,감탄사,무엇을 대단하게 생각하지 않는다는 뜻으로 하는 말.,no problem; piece of cake
까치발,까ː치발,,명사,발뒤꿈치를 들고 발의 앞부분으로만 서는 것.,standing on tiptoe
까칠까칠,까칠까칠,,부사,피부나 물건의 겉면이 매끄럽지 않고 거친 모양.,feeling rough; feeling sandy
까탈,까탈,,명사,일의 진행을 방해하는 문제.,hindrance
까투리,까투리,,명사,암컷인 꿩.,hen pheasant
까풀,까풀,,명사,속살이나 알맹이를 싸고 있는 껍질의 층.,skin; coat
깍깍,깍깍,,부사,까마귀나 까치가 우는 소리.,caw
깍두기,깍뚜기,,명사,무를 작고 네모나게 썰어서 소금에 절인 후 고춧가루 등의 양념을 넣고 버무려 만든 김치.,kkakdugi; diced radish kimchi
깍둑깍둑,깍뚝깍뚝,,부사,약간 단단한 물건을 대충 써는 모양.,chopped roughly
깍듯이,깍뜨시,,부사,매우 예의가 바르게.,courteously; respectfully
깍쟁이,깍쨍이,,명사,자신의 이익만 생각하고 남을 위해 자기 것을 내놓지 않으려고 하는 사람.,selfish person
깍지,깍찌,,명사,두 손의 손가락들을 서로 엇갈리게 해서 꼭 잡은 상태.,clasping; knitting one's fingers together
깐,깐,,명사,마음속에 가지고 있는 생각이나 계산.,calculation; estimation; judgment
깐깐히,깐깐히,,부사,빈틈이 없고 엄격하게.,meticulously; fastidiously
깐풍기,,←ganpengji[干烹鷄],명사,닭고기를 튀겨 약간 맵고 달콤한 소스에 볶은 중국 음식.,Chinese fried chili chicken; ganpengji
깔개,깔개,,명사,앉거나 눕기 위해 바닥에 까는 얇고 넓적한 물건.,mat; rug
깔깔,깔깔,,부사,높은 목소리로 못 참을 듯이 웃는 소리.,ha ha
깔딱,깔딱,,부사,액체를 힘들게 조금씩 삼키는 소리. 또는 그 모양.,
깔때기,깔때기,,명사,병에 액체를 담을 때 사용하는 나팔 모양의 도구.,funnel
깔짝깔짝,깔짝깔짝,,부사,손가락이나 날카로운 물체로 계속 긁거나 뜯는 모양.,scratching
깜깜,깜깜,,부사,아무것도 안 보일 정도로 매우 어두운 모양.,pitch dark
깜깜절벽,깜깜절벽,깜깜絕壁,명사,아무것도 보이지 않음.,darkness
깜냥,깜냥,,명사,어떤 일을 할 수 있는 능력.,ability; competence
깜둥이,깜둥이,,명사,피부색이 짙고 어두운 사람.,black person
깜박,깜박,,부사,불빛이 밝았다가 잠깐 어두워지거나 어두웠다가 잠깐 밝아지는 모양.,with a flash
깜박깜박,깜박깜박,,부사,불빛이 자꾸 밝았다가 어두워지거나 어두웠다가 밝아지는 모양.,with repeated flashes
깜빡깜빡,깜빡깜빡,,부사,불빛이 자꾸 밝았다가 어두워지거나 어두웠다가 밝아지는 모양.,with repeated flashes
깜빡이,깜빠기,,명사,달리는 차가 왼쪽이나 오른쪽으로 진행 방향을 바꿀 경우에 이를 알리는 장치.,blinker; turn signal
깜작,깜작,,부사,눈을 살짝 감았다가 뜨는 모양.,with a blink
깜작깜작,깜작깜작,,부사,눈이 자꾸 살짝 감겼다 뜨이는 모양.,with repeated blinks
깜장,깜장,,명사,까만 빛깔.,black
깜짝깜짝,깜짝깜짝,,부사,눈을 자꾸 살짝 감았다가 뜨는 모양.,with repeated blinks
깜짝이야,깜짜기야,,감탄사,갑자기 놀랐을 때 나오는 소리.,oh my gosh; goodness gracious
깝죽깝죽,깝쭉깝쭉,,부사,몸이나 몸의 한 부분을 점잖지 못하게 이리저리 자꾸 움직이는 모양.,
깡,깡,,명사,어떤 상황에서도 끝까지 견디는 힘이나 고집.,guts; tenacity; persistence
깡그리,깡그리,,부사,하나도 남기지 않고 모두.,all; completely
깡깡,깡깡,,부사,몹시 마르고 여윈 모양.,in a very skinny manner
깡다구,깡다구,,명사,(속된 말로) 어떤 상황에서도 끝까지 견디는 힘이나 고집.,guts; tenacity; persistence
깡술,,,명사,→ 강술1,
깡총깡총,,,부사,→ 깡충깡충,
깡충,깡충,,부사,짧은 다리를 모으고 힘 있게 위로 솟아오르며 뛰는 모양.,with a jump
깡패,깡패,깡牌,명사,(속된 말로) 폭력을 쓰면서 나쁜 짓을 하는 사람이나 무리.,bully; gangster; villain
깨갱,깨갱,,부사,개가 무섭거나 아파서 지르는 소리.,yip; yap
깨갱깨갱,깨갱깨갱,,부사,개가 무섭거나 아파서 자꾸 지르는 소리.,yips
깨나,,,조사,보통 이상'의 뜻을 나타내는 조사.,kkaena
깨달음,깨다름,,명사,"사물의 본질이나 이치, 진리 등을 깊이 생각한 끝에 알게 되는 것.",enlightenment; illumination; realization
깨알,깨알,,명사,깨 씨 한 개.,grain of sesame; sesame seed
깻묵,깬묵,,명사,기름을 짜고 남은 깨의 찌꺼기.,sesame dregs
깻잎,깬닙,,명사,들깨와 참깨의 잎.,sesame leaf
깽,깽,,부사,몹시 아프거나 힘들어 조금 괴롭게 내는 소리.,
깽깽,깽깽,,부사,몹시 아프거나 힘들어 조금 괴롭게 자꾸 내는 소리.,
깽판,깽판,,명사,(속된 말로) 일을 방해하거나 망치는 짓.,screwing up; messing up
꺼벙이,꺼ː벙이,,명사,(낮잡아 이르는 말로) 똑똑하지 못하고 조금 모자란 것처럼 행동을 하는 사람.,moron; idiot
꺼이꺼이,꺼이꺼이,,부사,목이 멜 정도로 요란하게 우는 소리. 또는 그 모양.,bawl; wail
꺼풀,꺼풀,,명사,속살이나 알맹이를 싸고 있는 껍질의 층.,skin
꺽꺽,꺽꺽,,부사,목구멍에서 숨이나 말이 막히는 소리. 또는 그 모양.,cuh; kahk; ackk
꺽다리,꺽따리,,명사,(놀리는 말로) 키가 큰 사람.,longlegs; gangling fellow
꺾꽂이,꺽꼬지,,명사,"식물의 줄기, 가지, 잎 등을 자르거나 꺾어 흙 속에 꽂아 뿌리를 내리게 하는 일.",planting a cutting
꺾쇠,꺽쇠/꺽쉐,,명사,물체를 고정시키기 위해 쇠를 구부려 만든 물건.,cramp iron; staple iron
꺾쇠표,꺽쐬표/꺽쒜표,꺾쇠標,명사,문장의 부호 ‘[ ]’의 이름.,bracket; square bracket
껄껄,껄껄,,부사,매우 시원스럽고 큰 목소리로 웃는 소리.,guffaw
껄떡,껄떡,,부사,액체를 힘들게 조금씩 삼키는 소리. 또는 그 모양.,a gulp; with a gulp
껄떡껄떡,껄떡껄떡,,부사,액체를 힘들게 자꾸 조금씩 삼키는 소리. 또는 그 모양.,gulps; with gulps
껌둥이,껌둥이,,명사,(귀엽게 이르는 말로) 털색이 검은 개.,black puppy
껌벅,껌벅,,부사,큰 불빛이 잠깐 어두워졌다 밝아지는 모양. 또는 밝아졌다 어두워지는 모양.,with a flash
껌벅껌벅,껌벅껌벅,,부사,큰 불빛이 자꾸 어두워졌다 밝아졌다 하는 모양.,with repeated flashes
껌정,껌정,,명사,껌은 빛깔.,black
껑충,껑충,,부사,긴 다리를 모으고 힘 있게 솟구쳐 뛰는 모양.,with a jump
껑충껑충,껑충껑충,,부사,긴 다리를 모으고 계속 힘 있게 솟구쳐 뛰는 모양.,with jumps
께,,,조사,(높임말로) 에게. 어떤 물건의 소속이나 위치를 나타내는 조사.,kke
께서,,,조사,(높임말로) 가. 이. 어떤 동작의 주체가 높여야 할 대상임을 나타내는 조사.,kkeseo
꼬깃꼬깃,꼬긷꼬긷,,부사,자잘한 금이 생기도록 자꾸 함부로 구기는 모양.,in a crumpling manner
꼬까,꼬ː까,,명사,(어린아이의 말로) 알록달록하고 곱게 만든 아이의 옷이나 신발.,children's gala dress or shoes
꼬까신,꼬ː까신,,명사,(어린아이의 말로) 알록달록하고 곱게 만든 아이의 신발.,children's gala shoes
꼬꼬,꼬꼬,,명사,(어린아이의 말로) 닭.,chicken
꼬꼬닭,꼬꼬닥,,명사,(어린아이의 말로) 닭.,chicken
꼬꼬댁,꼬꼬댁,,부사,닭이 우는 소리.,cackle
꼬끼오,꼬끼오,,부사,수탉이 우는 소리.,cock-a-doodle-doo
꼬들꼬들,꼬들꼬들,,부사,밥알 등이 물기가 적거나 말라서 겉이 조금 단단한 상태.,in a dry and hard state
꼬락서니,꼬락써니,,명사,(낮잡아 이르는 말로) 보기 싫거나 한심한 모양새.,pathetic sight; ugly appearance
꼬랑지,꼬랑지,,명사,(낮잡아 이르는 말로) 꼬리.,tail
꼬리곰탕,꼬리곰탕,꼬리곰湯,명사,소의 꼬리뼈를 물에 넣어 오래도록 끓인 음식.,kkorigomtang; oxtail soup
꼬리뼈,꼬리뼈,,명사,등뼈의 가장 아래쪽에 있는 뾰족한 뼈.,coccyx; tailbone
꼬리표,꼬리표,꼬리票,명사,"이름이나 주소, 가격 등의 정보를 표시하기 위해 물건에 붙이거나 매다는 표.",name tag
꼬막,꼬막,,명사,껍데기에 굵은 세로 줄 무늬가 있는 작은 조개.,ark shell; cockle
꼬맹이,꼬맹이,,명사,(낮잡아 이르는 말로) 어린아이.,rascal; small fry; brat
꼬물꼬물,꼬물꼬물,,부사,작은 몸짓으로 느리게 자꾸 움직이는 모양.,squirmingly
꼬부랑,꼬부랑,,명사,심하게 구부러져 있는 모양.,being crooked; being bent-over
꼬불꼬불,꼬불꼬불,,부사,모양이 곧지 않고 이리저리 구부러진 모양.,crookedly; windingly
꼬빡,꼬빡,,부사,어떤 일을 하는 데 걸리는 시간이 모두 그대로.,whole; full
꼬임,꼬임,,명사,듣기 좋은 말이나 행동으로 다른 사람을 속이거나 부추겨서 자기가 바라는 대로 하게 하는 일.,temptation; enticement; allurement
꼬장꼬장,꼬장꼬장,,부사,늙은 사람의 허리가 곧고 건강한 모양.,straight and strong
꼬질꼬질,꼬질꼬질,,부사,옷이나 몸에 때가 많아서 매우 더러운 모양.,dirtily; filthily
꼬챙이,꼬챙이,,명사,"나무나 쇠로 만든, 한쪽 끝이 뾰족한 가늘고 긴 막대기.",spit; skewer
꼬치,꼬치,,명사,"나무나 쇠로 만든, 한쪽 끝이 뾰족한 가늘고 긴 막대기에 꿰어 만든 음식.",skewer
꼬치구이,꼬치구이,,명사,가늘고 긴 막대에 꿰어 구운 음식.,kkochigu-i
꼬투리,꼬투리,,명사,어떤 이야기나 사건의 실마리.,clue
꼭두각시,꼭뚜각씨,,명사,한국의 전통 인형극에 등장하는 인형.,kkokdugaksi; puppet
꼭두각시놀음,꼭뚜각씨노름,,명사,여러 가지 인형을 무대 위에 번갈아 내세우며 무대 뒤에서 조종하고 그 인형의 동작에 맞추어 조종자가 말을 하며 이야기가 진행되는 한국의 전통 인형극.,kkokdugaksinoreum; puppet show; marionette show
꼭두새벽,꼭뚜새벽,,명사,매우 이른 새벽.,wee hours; before dawn
꼭지,꼭찌,,명사,도구나 그릇의 맨 위나 끝에 달려 있어 잡을 때 쓰이는 볼록한 부분.,top; knob
꼭짓점,꼭찌쩜/꼭찓쩜,꼭짓點,명사,두 개의 선이나 세 개 이상의 면이 만나는 점.,apex; vertex; solid angle
꼴값,꼴깝,,명사,(속된 말로) 생긴 것에 어울리는 말이나 행동.,conduct becoming to one's appearance; remark becoming to one's face
꼴까닥,꼴까닥,,부사,적은 양의 액체나 음식물이 목구멍으로 넘어가는 소리. 또는 그 모양.,gulp; at a gulp
꼴깍,꼴깍,,부사,적은 양의 액체나 음식물이 목구멍으로 넘어가는 소리.,gulp
꼴딱,꼴딱,,부사,적은 양의 음식물 따위를 목구멍으로 한꺼번에 삼키는 소리. 또는 그 모양.,gulp; at a gulp
꼴뚜기,꼴뚜기,,명사,오징어와 비슷하게 생겼으나 크기는 그보다 작으며 다리가 열 개인 뼈가 없는 동물.,small kind of octopus; baby octopus
꼼꼼,꼼꼼,,부사,빈틈이 없이 자세하고 차분한 모양.,elaborately; punctiliously; carefully
꼼지락꼼지락,꼼지락꼼지락,,부사,몸을 천천히 작게 계속 움직이는 모양.,with slow and slight moves
꼼짝달싹,꼼짝딸싹,,부사,몸이 아주 조금 움직이는 모양.,with the slightest move
꼼틀꼼틀,꼼틀꼼틀,,부사,몸의 한 부분을 비틀거나 구부리며 조금씩 자꾸 움직이는 모양.,wrigglingly; squirmingly
꼽추,꼽추,,명사,(낮잡아 이르는 말로) 척추가 굽어서 등이 불룩하게 나와 있는 사람.,hunch back; hump back
꼿꼿이,꼳꼬시,,부사,사람의 자세나 서 있는 사물이 굽지 않고 곧게.,straight; upright
꽁무니,꽁무니,,명사,동물의 척추를 이루는 뼈의 끝이 되는 부분이나 곤충의 배 끝부분.,tail
꽁보리밥,꽁보리밥,,명사,보리쌀로만 지은 밥.,kkongboribap; boiled barley
꽁생원,꽁생원,꽁生員,명사,(놀리는 말로) 마음이 너그럽지 못하고 융통성이 없는 사람.,narrow-minded person; petty person
꽁지,꽁지,,명사,새의 꽁무니 부분.,bird's tail
꽁초,꽁초,,명사,피우고 남은 담배의 끝부분.,cigarette butt
꽁치,꽁치,,명사,"머리 모양이 뾰족하고 몸통이 둥글고 길며, 등이 검푸르고 배가 흰 바닷물고기.",mackerel pike; saury
꽃가루,꼳까루,,명사,꽃의 수술에 붙어 있다가 암술로 운반되어 씨를 맺게 하는 가루.,pollen; anther dust
꽃가마,꼳까마,,명사,"꽃 모양이 장식된, 앞뒤에서 사람이 들고 가는 작은 집 모양의 탈것.",kkotgama; sedan chair decorated with flowers
꽃가지,꼳까지,,명사,꽃이 달린 가지.,sprig of flowers
